datetime	Gulf_extend
8/18/2017 0:30	-0.195
8/18/2017 1:00	-0.187
8/18/2017 1:30	-0.177
8/18/2017 2:00	-0.159
8/18/2017 2:30	-0.128
8/18/2017 3:00	-0.092
8/18/2017 3:30	-0.038
8/18/2017 4:00	0.038
8/18/2017 4:30	0.133
8/18/2017 5:00	0.241
8/18/2017 5:30	0.349
8/18/2017 6:00	0.445
8/18/2017 6:30	0.529
8/18/2017 7:00	0.597
8/18/2017 7:30	0.646
8/18/2017 8:00	0.677
8/18/2017 8:30	0.694
8/18/2017 9:00	0.709
8/18/2017 9:30	0.718
8/18/2017 10:00	0.707
8/18/2017 10:30	0.673
8/18/2017 11:00	0.624
8/18/2017 11:30	0.564
8/18/2017 12:00	0.508
8/18/2017 12:30	0.457
8/18/2017 13:00	0.410
8/18/2017 13:30	0.376
8/18/2017 14:00	0.339
8/18/2017 14:30	0.296
8/18/2017 15:00	0.258
8/18/2017 15:30	0.222
8/18/2017 16:00	0.190
8/18/2017 16:30	0.167
8/18/2017 17:00	0.150
8/18/2017 17:30	0.141
8/18/2017 18:00	0.140
8/18/2017 18:30	0.144
8/18/2017 19:00	0.143
8/18/2017 19:30	0.123
8/18/2017 20:00	0.083
8/18/2017 20:30	0.047
8/18/2017 21:00	0.013
8/18/2017 21:30	-0.029
8/18/2017 22:00	-0.073
8/18/2017 22:30	-0.114
8/18/2017 23:00	-0.152
8/18/2017 23:30	-0.185
8/19/2017 0:00	-0.209
8/19/2017 0:30	-0.223
8/19/2017 1:00	-0.225
8/19/2017 1:30	-0.216
8/19/2017 2:00	-0.197
8/19/2017 2:30	-0.172
8/19/2017 3:00	-0.136
8/19/2017 3:30	-0.084
8/19/2017 4:00	-0.018
8/19/2017 4:30	0.057
8/19/2017 5:00	0.134
8/19/2017 5:30	0.207
8/19/2017 6:00	0.278
8/19/2017 6:30	0.357
8/19/2017 7:00	0.435
8/19/2017 7:30	0.499
8/19/2017 8:00	0.546
8/19/2017 8:30	0.578
8/19/2017 9:00	0.588
8/19/2017 9:30	0.577
8/19/2017 10:00	0.552
8/19/2017 10:30	0.521
8/19/2017 11:00	0.487
8/19/2017 11:30	0.458
8/19/2017 12:00	0.425
8/19/2017 12:30	0.396
8/19/2017 13:00	0.369
8/19/2017 13:30	0.350
8/19/2017 14:00	0.331
8/19/2017 14:30	0.315
8/19/2017 15:00	0.310
8/19/2017 15:30	0.314
8/19/2017 16:00	0.329
8/19/2017 16:30	0.350
8/19/2017 17:00	0.371
8/19/2017 17:30	0.390
8/19/2017 18:00	0.406
8/19/2017 18:30	0.422
8/19/2017 19:00	0.436
8/19/2017 19:30	0.438
8/19/2017 20:00	0.423
8/19/2017 20:30	0.396
8/19/2017 21:00	0.350
8/19/2017 21:30	0.288
8/19/2017 22:00	0.214
8/19/2017 22:30	0.136
8/19/2017 23:00	0.065
8/19/2017 23:30	-0.002
8/20/2017 0:00	-0.054
8/20/2017 0:30	-0.102
8/20/2017 1:00	-0.142
8/20/2017 1:30	-0.166
8/20/2017 2:00	-0.178
8/20/2017 2:30	-0.177
8/20/2017 3:00	-0.172
8/20/2017 3:30	-0.146
8/20/2017 4:00	-0.103
8/20/2017 4:30	-0.046
8/20/2017 5:00	0.023
8/20/2017 5:30	0.103
8/20/2017 6:00	0.189
8/20/2017 6:30	0.275
8/20/2017 7:00	0.362
8/20/2017 7:30	0.444
8/20/2017 8:00	0.517
8/20/2017 8:30	0.574
8/20/2017 9:00	0.614
8/20/2017 9:30	0.629
8/20/2017 10:00	0.625
8/20/2017 10:30	0.607
8/20/2017 11:00	0.578
8/20/2017 11:30	0.538
8/20/2017 12:00	0.496
8/20/2017 12:30	0.456
8/20/2017 13:00	0.414
8/20/2017 13:30	0.366
8/20/2017 14:00	0.317
8/20/2017 14:30	0.276
8/20/2017 15:00	0.247
8/20/2017 15:30	0.227
8/20/2017 16:00	0.216
8/20/2017 16:30	0.219
8/20/2017 17:00	0.229
8/20/2017 17:30	0.248
8/20/2017 18:00	0.268
8/20/2017 18:30	0.290
8/20/2017 19:00	0.311
8/20/2017 19:30	0.331
8/20/2017 20:00	0.356
8/20/2017 20:30	0.376
8/20/2017 21:00	0.384
8/20/2017 21:30	0.370
8/20/2017 22:00	0.339
8/20/2017 22:30	0.299
8/20/2017 23:00	0.255
8/20/2017 23:30	0.213
8/21/2017 0:00	0.170
8/21/2017 0:30	0.130
8/21/2017 1:00	0.096
8/21/2017 1:30	0.066
8/21/2017 2:00	0.042
8/21/2017 2:30	0.025
8/21/2017 3:00	0.022
8/21/2017 3:30	0.033
8/21/2017 4:00	0.059
8/21/2017 4:30	0.097
8/21/2017 5:00	0.140
8/21/2017 5:30	0.186
8/21/2017 6:00	0.240
8/21/2017 6:30	0.296
8/21/2017 7:00	0.349
8/21/2017 7:30	0.397
8/21/2017 8:00	0.445
8/21/2017 8:30	0.496
8/21/2017 9:00	0.544
8/21/2017 9:30	0.581
8/21/2017 10:00	0.600
8/21/2017 10:30	0.599
8/21/2017 11:00	0.587
8/21/2017 11:30	0.570
8/21/2017 12:00	0.545
8/21/2017 12:30	0.512
8/21/2017 13:00	0.480
8/21/2017 13:30	0.450
8/21/2017 14:00	0.417
8/21/2017 14:30	0.380
8/21/2017 15:00	0.351
8/21/2017 15:30	0.337
8/21/2017 16:00	0.332
8/21/2017 16:30	0.335
8/21/2017 17:00	0.341
8/21/2017 17:30	0.345
8/21/2017 18:00	0.350
8/21/2017 18:30	0.355
8/21/2017 19:00	0.358
